sentences,label
"If you're not a billing manager for the organization, ask your client to have an owner of the organization add you to the organization as a billing manager",0
Tip: Billing managers can also change the organization's number of paid seats anytime,0
"Updating your organization's credit cardIn the top right corner of GitHub, click your profile photo, then click Your organizations",0
Click Settings next to the organization,1
"In your organization's Settings sidebar, click Billing &amp; plans",1
"At the top of the page, under ""Payment information"", click Update payment method",1
"Under ""Payment method"", click New Card",1
"Under ""Payment method"", choose to pay with a credit card or PayPal",1
"Complete the payment information form, then click Submit",1
"To show forks in repository search results, add fork:true or fork:only to your query",0
Forks are only indexed for code search when they have more stars than the parent repository,0
You will not be able to search the code in a fork that has less stars than its parent,0
"To show forks with more stars than the parent repository in code search results, add fork:true or fork:only to your query",0
"The fork:true qualifier finds all results that match your search query, including forks",0
The fork:only qualifier finds only forks that match your search query,0
"QualifierExamplefork:truegithub fork:true matches all repositories containing the word ""github,"" including forks",0
"android language:java fork:true matches code with the word ""android"" that's written in Java, in both forks and regular repositories",0
"fork:onlygithub fork:only matches all fork repositories containing the word ""github",0
"""forks:&gt;500 fork:only matches repositories with more than 500 forks, and only returns those that are forks",0
"Further reading""About forks""""About searching on GitHub""",0
"You can search wikis globally across all of GitHub, or search wikis within a particular repository or organization",0
"For more information, see ""About searching on GitHub",0
"""Tips:For a list of search syntaxes that you can add to any search qualifier to further improve your results, see ""Understanding the search syntax""",0
Use quotations around multi-word search terms,0
"For example, if you want to search for issues with the label ""In progress,"" you'd search for label:""in progress""",0
Search is not case sensitive,0
"Search within a user's or organization's repositoriesTo find wiki pages from all repositories owned by a certain user or organization, use the user or org qualifier",0
"To find wiki pages from a specific repository, use the repo qualifier",0
QualifierExampleuser:USERNAMEuser:defunkt matches wiki pages from repositories owned by @defunkt,0
org:ORGNAMEorg:github matches wikis in repositories owned by the GitHub organization,0
"repo:USERNAME/REPOSITORYrepo:defunkt/gibberish matches wiki pages from @defunkt's ""gibberish"" repository",0
Search within a wiki page title or body textThe in qualifier limits the search to the wiki page title or body text,0
"Without the qualifier, both the title and body text are searched",0
"QualifierExamplein:titleusage in:title matches wiki page titles with the word ""usage",0
"""in:bodyinstallation in:body matches wiki pages with the word ""installation"" in their main body text",0
Search by last updated dateThe updated qualifier matches wiki pages that were last updated within the specified date range,0
"When you search for a date, you can use greater than, less than, and range qualifiers to further filter results",0
"For more information, see ""Understanding the search syntax",0
"""QualifierExampleupdated:YYYY-MM-DDusage updated:&gt;2016-01-01 matches wiki pages with the word ""usage"" that were last updated after 2016-01-01",0
"Further reading""Sorting search results""",0
"About searching for packagesYou can search for packages globally across all of GitHub, or search for packages within a particular organization",0
"For more information, see ""About searching on GitHub",0
"""Tips:For a list of search syntaxes that you can add to any search qualifier to further improve your results, see ""Understanding the search syntax""",0
Use quotations around multi-word search terms,0
"For example, if you want to search for issues with the label ""In progress,"" you'd search for label:""in progress""",0
Search is not case sensitive,0
"Searching within a user's or organization's packagesTo find packages owned by a certain user or organization, use the user or org qualifier",0
"QualifierExampleuser:USERNAMEuser:codertocat matches packages owned by @codertocatorg:ORGNAMEorg:github matches packages owned by the GitHub organizationFiltering by package visibilityTo filter your search by whether a package is public or private, use the is qualifier",0
"QualifierExampleis:publicis:public angular matches public packages that contain the word ""angular""is:privateis:private php matches private packages that contain the word ""php""",0
About scheduled reminders for usersScheduled reminders are used to make sure that users focus on the most important review requests that require their attention,0
Scheduled reminders for pull requests will send a message to you in Slack with open pull requests needing your review at a specified time,0
"For example, you can setup scheduled reminders to send you a message in Slack every morning at 10 AM with pull requests needing to be reviewed by you or one of your teams",0
"For certain events, you can also enable real-time alerts for scheduled reminders",0
"Real-time alerts get sent to your Slack channel as soon as an important event, such as when you are assigned a review, takes place",0
You can set scheduled reminders for personal or team-level review requests for pull requests in organizations you are a member of,0
"Before you can create a scheduled reminder for yourself, an organization owner must authorize your Slack workspace",0
"For more information, see ""Managing scheduled reminders for your organization",0
"""GitHub will only trigger reminders for up to five repositories per owner and 20 pull requests per repository",0
"Creating scheduled reminders for your user accountIn the upper-right corner of any page, click your profile photo, then click Settings",0
"In the left sidebar, click Scheduled reminders",1
"Next to the organization you'd like to schedule reminders for, click Edit",1
"Under ""Scheduled reminders"", click Add your first reminder",1
"Under ""Slack workspace"", click Authorize Slack workspace and follow the instructions",1
"Under ""Days"", click Weekdays  to select one or more days you'd like to receive scheduled reminders",1
"Under ""Select Time(s)"", click 9:00 AM  to select one or more times you'd like to receive scheduled reminders",1
"Optionally, to change your timezone, click  next to your current timezone and select a different time zone",1
"Optionally, to receive scheduled reminders for reviews you've been assigned to, select Review requests assigned to you",1
"Optionally, to receive scheduled reminders for reviews assigned to a team you're a member of, select Review requests assigned to your team",1
"Optionally, to receive Slack messages as soon as certain events happen, select Enable real-time alerts and select the events to receive real-time alerts for",1
Click Create reminder,1
"Managing scheduled reminders for your user accountIn the upper-right corner of any page, click your profile photo, then click Settings",0
"In the left sidebar, click Scheduled reminders",1
"Next to the organization you'd like to edit scheduled reminders for, click Edit",1
Make one or more changes to your scheduled reminder,1
"To save your changes, click Update reminder",1
"Optionally, to test your changes while updating the changes, click Update and test reminder",1
"Deleting scheduled reminders for your user accountIn the upper-right corner of any page, click your profile photo, then click Settings",0
"In the left sidebar, click Scheduled reminders",1
"Next to the organization you'd like to delete reminders for, click Edit",1
"At the bottom of the page, click Delete this reminder",1
"To confirm that you want to delete the scheduled reminder, click OK",1
"Further reading""Managing scheduled reminders for your organization""""Managing scheduled reminders for your team""",0
You can search for users globally across all of GitHub,0
"For more information, see ""About searching on GitHub",0
"""Tips:For a list of search syntaxes that you can add to any search qualifier to further improve your results, see ""Understanding the search syntax""",0
Use quotations around multi-word search terms,0
"For example, if you want to search for issues with the label ""In progress,"" you'd search for label:""in progress""",0
Search is not case sensitive,0
"Search only users or organizationsBy default, searching users will return both personal and organizations",0
"However, you can use the type qualifier to restrict search results to personal accounts or organizations only",0
"QualifierExampletype:usermike in:name created:&lt;2011-01-01 type:user matches personal accounts named ""mike"" that were created before 2011",0
"type:orgdata in:email type:org matches organizations  with the word ""data"" in their email",0
"Search by account name, full name, or public emailYou can filter your search to the personal user or organization account name with user or org qualifiers",0
"With the in qualifier you can restrict your search to the username (login), full name, public email, or any combination of these",0
